Elev_ID;Koen;Alder;Gennemsnitskarakter;Foraeldreuddannelsesniveau;Deltager_i_fritidsaktiviteter;Transporttid;Deltidsjob;Yndlingsfarve;Har_kaeledyr;Fravaersprocent;Stoppet
1;0;20;5;2;0;51;1;Gul;1;25;1
2;1;20;6.3;1;1;6;0;Gul;0;26;0
3;0;16;2;1;0;44;0;Lilla;0;20;0
4;0;18;5.7;1;1;58;0;Groen;0;9;1
5;0;17;4.4;2;0;29;0;Roed;1;33;1
6;1;16;5.7;1;1;18;0;Lilla;1;16;1
7;0;17;3.1;2;1;44;0;Roed;0;22;1
8;0;17;11.2;2;0;50;1;Gul;1;37;1
9;0;18;8;2;0;35;0;Lilla;0;6;0
10;1;17;9.5;4;1;58;0;Lilla;0;10;0
11;0;17;10.5;1;0;8;0;Blaa;0;17;0
12;0;18;7.2;1;1;33;0;Gul;0;7;0
13;0;17;3.8;2;0;45;0;Gul;1;7;0
14;0;17;7.6;2;0;52;0;Lilla;1;15;1
15;1;17;8.8;1;0;15;0;Gul;0;8;0
16;0;16;10.3;2;0;49;0;Lilla;1;15;0
17;1;16;6.5;1;1;35;1;Blaa;1;16;0
18;1;16;3.8;4;0;27;1;Lilla;0;19;0
19;1;18;5.5;2;0;12;0;Gul;1;12;1
20;0;20;6.3;1;0;53;0;Gul;0;42;1
21;1;17;8.3;2;0;14;1;Lilla;0;6;0
22;0;17;8.7;1;1;22;1;Lilla;0;6;0
23;1;18;6.8;1;1;21;0;Lilla;0;49;0
24;1;17;12.6;2;0;53;0;Groen;1;9;0
25;1;16;8.6;4;1;42;0;Gul;0;44;0
26;1;20;4.2;1;1;49;1;Gul;1;33;0
27;1;19;3.1;1;0;19;1;Groen;0;13;1
28;1;17;4.3;1;1;39;0;Lilla;0;42;1
29;1;16;4.5;4;0;36;1;Blaa;1;9;1
30;1;19;4.2;4;0;51;0;Lilla;0;8;1
31;0;20;4.5;2;1;55;1;Lilla;1;25;1
32;0;19;5.5;4;0;6;0;Groen;1;50;1
33;1;16;4.5;2;1;42;1;Gul;0;36;0
34;1;19;11.5;2;1;8;0;Lilla;0;19;1
35;1;18;3.2;4;0;35;0;Gul;0;1;0
