Hoejde;Underarmslaengde;Underarmsomkreds;Haandtryk;Sko;Hund;Soeskende;Opslag;Lande;Koen
168;27;25;153;38;0;1;3;2;1
164;24;24;160;39;0;0;0;1;1
167;29;27;244;41;0;2;140;0;1
168;26;21.5;268;38;1;1;0;2;1
166;27;26;196;37;0;2;3;6;1
165;27;25;247;38;0;0;0;5;1
185;28;26;220;40;1;1;15;2;1
172;28;26;263;36;1;0;1;6;1
170;27;25;200;42;0;1;34;3;1
156;25;24;210;37;0;2;0;4;1
180;26;22;226.5;39;0;0;0;1;1
163;28;26;217.7;42;0;0;72;0;1
189;49.5;25;273.2;40;0;0;0;5;0
182;48.2;28;420.9;43;1;2;2;1;0
180;47;28.5;394;42;0;1;0;3;0
180;48.5;25;266;40;0;2;14;2;0
175;45.6;26;263;39;0;0;0;1;0
183;48;27;388;41;0;1;0;0;0
189;51.2;28.5;396.3;44;0;2;41;3;0
179;48.5;25;265;43;1;1;0;0;0
176;48;31;400;42;0;2;0;6;0
172;66;30;350;42;0;2;13;2;0
188;66;30;360;44;1;0;0;1;0
188;60;31;350;39;0;0;1;2;0
180;40;32;450;41;1;3;0;0;0
189;54;28;420;43;0;2;0;1;0
190;40;30;400;43;0;0;5;4;0
180;43;30;410;44;0;1;21;8;0
175;45;26;460;40;1;2;14;2;0
178;47;29;300;45;0;0;4;3;0
185;26;31;300;46;0;2;10;1;0
183;27;29;370;42;1;2;0;0;0
180;26.5;26;288;43;0;2;0;5;0
175;28;30;178;39;1;2;0;1;1
169;25;25;244;38.5;0;1.5;0;2;1
168;25;23;231;38;0;1;0;7;1
177;25;23;250;42;1;1;0;2;1
174;24;24;173;39;1;2;0;4;1
185;28;26;356;46;2;3;0;2;0
175;26.5;31;395;42;0;1;0;2;0
173.5;23.7;22.2;210;39;0;2;0;3;1
176;25;25.5;491;41;0;2;0;6;0
185;29;27;280;44;0;1;130;3;0
167;23.7;22.7;200;38;1;2;0;4;1
181;28;33;381;46;1;2;2;3;0
175;27;25;311;41.3;0;1;0;10;0
179;32;29;382;44.5;0;2;0;2;0
194;32;32;445;46;0;2;0;6;0
177;29;27;341;45;1;2;0;2;0
174;31;29;336;44;1;1;0;7;0
179;27;28;384;44;1;1;0;2;0
194;68;31;430;46;1;1;0;5;0
